group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gaussian value at risk,,,,,943508.0,ns,4
gaussian value at risk,,,,,1873117.0,ns,8
gaussian value at risk,,,,,3261428.0,ns,12
gaussian value at risk,,,,,4282537.0,ns,16
gaussian value at risk,,,,,8283973.0,ns,20
gaussian value at risk,,,,,7460165.0,ns,24
gaussian value at risk,,,,,8269572.0,ns,28
gaussian value at risk,,,,,9651384.0,ns,32
gaussian value at risk,,,,,10809994.0,ns,36
gaussian value at risk,,,,,12021604.0,ns,40
gaussian value at risk,,,,,12973913.0,ns,44
gaussian value at risk,,,,,14593528.0,ns,48
gaussian value at risk,,,,,15825437.0,ns,52
gaussian value at risk,,,,,17184050.0,ns,56
gaussian value at risk,,,,,16894147.0,ns,60
gaussian value at risk,,,,,17962557.0,ns,64
gaussian value at risk,,,,,19463269.0,ns,68
gaussian value at risk,,,,,21500987.0,ns,72
gaussian value at risk,,,,,20375078.0,ns,76
gaussian value at risk,,,,,21653788.0,ns,80
gaussian value at risk,,,,,23516805.0,ns,84
gaussian value at risk,,,,,24205011.0,ns,88
gaussian value at risk,,,,,26789833.0,ns,92
gaussian value at risk,,,,,27676241.0,ns,96
gaussian value at risk,,,,,27373839.0,ns,100
gaussian value at risk,,,,,29881260.0,ns,104
gaussian value at risk,,,,,31053770.0,ns,108
gaussian value at risk,,,,,30722968.0,ns,112
gaussian value at risk,,,,,32192680.0,ns,116
gaussian value at risk,,,,,35247307.0,ns,120
gaussian value at risk,,,,,34177098.0,ns,124
gaussian value at risk,,,,,35174606.0,ns,128
gaussian value at risk,,,,,38447835.0,ns,132
gaussian value at risk,,,,,38182332.0,ns,136
gaussian value at risk,,,,,52253955.0,ns,140
gaussian value at risk,,,,,41517162.0,ns,144
gaussian value at risk,,,,,42029466.0,ns,148
gaussian value at risk,,,,,42453170.0,ns,152
gaussian value at risk,,,,,44319385.0,ns,156
gaussian value at risk,,,,,44130285.0,ns,160
gaussian value at risk,,,,,43946582.0,ns,164
gaussian value at risk,,,,,49411231.0,ns,168
gaussian value at risk,,,,,47530414.0,ns,172
gaussian value at risk,,,,,49544631.0,ns,176
gaussian value at risk,,,,,51939552.0,ns,180
gaussian value at risk,,,,,53126063.0,ns,184
gaussian value at risk,,,,,53033262.0,ns,188
gaussian value at risk,,,,,52227855.0,ns,192
gaussian value at risk,,,,,57625201.0,ns,196
gaussian value at risk,,,,,59875322.0,ns,200
gaussian value at risk,,,,,58742411.0,ns,204
gaussian value at risk,,,,,59380418.0,ns,208
gaussian value at risk,,,,,57679302.0,ns,212
gaussian value at risk,,,,,58754811.0,ns,216
gaussian value at risk,,,,,60476776.0,ns,220
gaussian value at risk,,,,,60369675.0,ns,224
gaussian value at risk,,,,,63296997.0,ns,228
gaussian value at risk,,,,,69893250.0,ns,232
gaussian value at risk,,,,,74623086.0,ns,236
gaussian value at risk,,,,,74316385.0,ns,240
gaussian value at risk,,,,,75422493.0,ns,244
gaussian value at risk,,,,,76662302.0,ns,248
gaussian value at risk,,,,,75727095.0,ns,252
gaussian value at risk,,,,,77486509.0,ns,256
gaussian value at risk,,,,,78753619.0,ns,260
gaussian value at risk,,,,,75330992.0,ns,264
gaussian value at risk,,,,,75149991.0,ns,268
gaussian value at risk,,,,,71629763.0,ns,272
gaussian value at risk,,,,,72252668.0,ns,276
gaussian value at risk,,,,,74333684.0,ns,280
gaussian value at risk,,,,,76468801.0,ns,284
gaussian value at risk,,,,,75860496.0,ns,288
gaussian value at risk,,,,,82171746.0,ns,292
gaussian value at risk,,,,,87567089.0,ns,296
gaussian value at risk,,,,,88686497.0,ns,300
gaussian value at risk,,,,,85616573.0,ns,304
gaussian value at risk,,,,,85407871.0,ns,308
gaussian value at risk,,,,,89446203.0,ns,312
gaussian value at risk,,,,,86287779.0,ns,316
gaussian value at risk,,,,,91471219.0,ns,320
gaussian value at risk,,,,,86795082.0,ns,324
gaussian value at risk,,,,,89485004.0,ns,328
gaussian value at risk,,,,,90462811.0,ns,332
gaussian value at risk,,,,,98108371.0,ns,336
gaussian value at risk,,,,,93174632.0,ns,340
gaussian value at risk,,,,,94019839.0,ns,344
gaussian value at risk,,,,,92437927.0,ns,348
gaussian value at risk,,,,,95415550.0,ns,352
gaussian value at risk,,,,,98891578.0,ns,356
gaussian value at risk,,,,,102973009.0,ns,360
gaussian value at risk,,,,,104800124.0,ns,364
gaussian value at risk,,,,,103411613.0,ns,368
gaussian value at risk,,,,,105606430.0,ns,372
gaussian value at risk,,,,,116013512.0,ns,376
gaussian value at risk,,,,,104955025.0,ns,380
gaussian value at risk,,,,,102877509.0,ns,384
gaussian value at risk,,,,,112301582.0,ns,388
gaussian value at risk,,,,,111170274.0,ns,392
gaussian value at risk,,,,,110402668.0,ns,396
gaussian value at risk,,,,,110897472.0,ns,400
