group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gaussian value at risk,,,,,1451210.0,ns,4
gaussian value at risk,,,,,2388916.0,ns,8
gaussian value at risk,,,,,3805825.0,ns,12
gaussian value at risk,,,,,7077248.0,ns,16
gaussian value at risk,,,,,6575844.0,ns,20
gaussian value at risk,,,,,6885646.0,ns,24
gaussian value at risk,,,,,8957859.0,ns,28
gaussian value at risk,,,,,9892767.0,ns,32
gaussian value at risk,,,,,11682878.0,ns,36
gaussian value at risk,,,,,13896492.0,ns,40
gaussian value at risk,,,,,13165688.0,ns,44
gaussian value at risk,,,,,15085301.0,ns,48
gaussian value at risk,,,,,16768412.0,ns,52
gaussian value at risk,,,,,17442117.0,ns,56
gaussian value at risk,,,,,18185521.0,ns,60
gaussian value at risk,,,,,18996927.0,ns,64
gaussian value at risk,,,,,20851240.0,ns,68
gaussian value at risk,,,,,22397649.0,ns,72
gaussian value at risk,,,,,22610051.0,ns,76
gaussian value at risk,,,,,24137662.0,ns,80
gaussian value at risk,,,,,25844172.0,ns,84
gaussian value at risk,,,,,28382590.0,ns,88
gaussian value at risk,,,,,27713985.0,ns,92
gaussian value at risk,,,,,29188595.0,ns,96
gaussian value at risk,,,,,31249609.0,ns,100
gaussian value at risk,,,,,34101428.0,ns,104
gaussian value at risk,,,,,32529417.0,ns,108
gaussian value at risk,,,,,36244542.0,ns,112
gaussian value at risk,,,,,37808353.0,ns,116
gaussian value at risk,,,,,34919633.0,ns,120
gaussian value at risk,,,,,38251156.0,ns,124
gaussian value at risk,,,,,40066467.0,ns,128
gaussian value at risk,,,,,39326363.0,ns,132
gaussian value at risk,,,,,40098368.0,ns,136
gaussian value at risk,,,,,40793773.0,ns,140
gaussian value at risk,,,,,42993187.0,ns,144
gaussian value at risk,,,,,43385090.0,ns,148
gaussian value at risk,,,,,45543904.0,ns,152
gaussian value at risk,,,,,44871300.0,ns,156
gaussian value at risk,,,,,50244636.0,ns,160
gaussian value at risk,,,,,50638038.0,ns,164
gaussian value at risk,,,,,51041341.0,ns,168
gaussian value at risk,,,,,53338756.0,ns,172
gaussian value at risk,,,,,52899654.0,ns,176
gaussian value at risk,,,,,53511357.0,ns,180
gaussian value at risk,,,,,54795866.0,ns,184
gaussian value at risk,,,,,56643879.0,ns,188
gaussian value at risk,,,,,56987281.0,ns,192
gaussian value at risk,,,,,59901800.0,ns,196
gaussian value at risk,,,,,60878207.0,ns,200
gaussian value at risk,,,,,62614318.0,ns,204
gaussian value at risk,,,,,63170622.0,ns,208
gaussian value at risk,,,,,65983041.0,ns,212
gaussian value at risk,,,,,65857540.0,ns,216
gaussian value at risk,,,,,70347870.0,ns,220
gaussian value at risk,,,,,70535271.0,ns,224
gaussian value at risk,,,,,68931461.0,ns,228
gaussian value at risk,,,,,72966187.0,ns,232
gaussian value at risk,,,,,74288396.0,ns,236
gaussian value at risk,,,,,71964481.0,ns,240
gaussian value at risk,,,,,73027288.0,ns,244
gaussian value at risk,,,,,74977201.0,ns,248
gaussian value at risk,,,,,75522205.0,ns,252
gaussian value at risk,,,,,82767153.0,ns,256
gaussian value at risk,,,,,78713426.0,ns,260
gaussian value at risk,,,,,80968841.0,ns,264
gaussian value at risk,,,,,85017968.0,ns,268
gaussian value at risk,,,,,84769766.0,ns,272
gaussian value at risk,,,,,83725659.0,ns,276
gaussian value at risk,,,,,83146256.0,ns,280
gaussian value at risk,,,,,89458598.0,ns,284
gaussian value at risk,,,,,88174389.0,ns,288
gaussian value at risk,,,,,89036795.0,ns,292
gaussian value at risk,,,,,95262336.0,ns,296
gaussian value at risk,,,,,94835134.0,ns,300
gaussian value at risk,,,,,97374850.0,ns,304
gaussian value at risk,,,,,93904428.0,ns,308
gaussian value at risk,,,,,94715133.0,ns,312
gaussian value at risk,,,,,93404624.0,ns,316
gaussian value at risk,,,,,98107455.0,ns,320
gaussian value at risk,,,,,99656266.0,ns,324
gaussian value at risk,,,,,99313464.0,ns,328
gaussian value at risk,,,,,99752366.0,ns,332
gaussian value at risk,,,,,100862474.0,ns,336
gaussian value at risk,,,,,107541718.0,ns,340
gaussian value at risk,,,,,108647126.0,ns,344
gaussian value at risk,,,,,109119229.0,ns,348
gaussian value at risk,,,,,105539906.0,ns,352
gaussian value at risk,,,,,109664332.0,ns,356
gaussian value at risk,,,,,111159143.0,ns,360
gaussian value at risk,,,,,108871227.0,ns,364
gaussian value at risk,,,,,119536399.0,ns,368
gaussian value at risk,,,,,113555559.0,ns,372
gaussian value at risk,,,,,116827380.0,ns,376
gaussian value at risk,,,,,120084303.0,ns,380
gaussian value at risk,,,,,121107209.0,ns,384
gaussian value at risk,,,,,123229223.0,ns,388
gaussian value at risk,,,,,118102589.0,ns,392
gaussian value at risk,,,,,125288137.0,ns,396
gaussian value at risk,,,,,119787101.0,ns,400
