group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gaussian variance,,,,,972207.0,ns,19
gaussian variance,,,,,1899612.0,ns,38
gaussian variance,,,,,3029619.0,ns,57
gaussian variance,,,,,3670623.0,ns,76
gaussian variance,,,,,4672730.0,ns,95
gaussian variance,,,,,5584336.0,ns,114
gaussian variance,,,,,11051470.0,ns,133
gaussian variance,,,,,7663149.0,ns,152
gaussian variance,,,,,12200177.0,ns,171
gaussian variance,,,,,9181359.0,ns,190
gaussian variance,,,,,16056202.0,ns,209
gaussian variance,,,,,11219771.0,ns,228
gaussian variance,,,,,12287279.0,ns,247
gaussian variance,,,,,13138383.0,ns,266
gaussian variance,,,,,14341492.0,ns,285
gaussian variance,,,,,14966895.0,ns,304
gaussian variance,,,,,16330404.0,ns,323
gaussian variance,,,,,16918807.0,ns,342
gaussian variance,,,,,18098616.0,ns,361
gaussian variance,,,,,18817219.0,ns,380
gaussian variance,,,,,21006534.0,ns,399
gaussian variance,,,,,21877439.0,ns,418
gaussian variance,,,,,22621644.0,ns,437
gaussian variance,,,,,22438943.0,ns,456
gaussian variance,,,,,23763951.0,ns,475
gaussian variance,,,,,25823665.0,ns,494
gaussian variance,,,,,26617469.0,ns,513
gaussian variance,,,,,26670070.0,ns,532
gaussian variance,,,,,28237879.0,ns,551
gaussian variance,,,,,31630002.0,ns,570
gaussian variance,,,,,30292693.0,ns,589
gaussian variance,,,,,30575194.0,ns,608
gaussian variance,,,,,36159930.0,ns,627
gaussian variance,,,,,34983123.0,ns,646
gaussian variance,,,,,44179081.0,ns,665
gaussian variance,,,,,33828915.0,ns,684
gaussian variance,,,,,34657821.0,ns,703
gaussian variance,,,,,36949135.0,ns,722
gaussian variance,,,,,37818341.0,ns,741
gaussian variance,,,,,38206243.0,ns,760
gaussian variance,,,,,41582264.0,ns,779
gaussian variance,,,,,40699059.0,ns,798
gaussian variance,,,,,41307963.0,ns,817
gaussian variance,,,,,43426077.0,ns,836
gaussian variance,,,,,42952073.0,ns,855
gaussian variance,,,,,45303388.0,ns,874
gaussian variance,,,,,52401534.0,ns,893
gaussian variance,,,,,49742516.0,ns,912
gaussian variance,,,,,46571297.0,ns,931
gaussian variance,,,,,49694916.0,ns,950
gaussian variance,,,,,48895311.0,ns,969
gaussian variance,,,,,49670916.0,ns,988
gaussian variance,,,,,50666623.0,ns,1007
gaussian variance,,,,,51487427.0,ns,1026
gaussian variance,,,,,53104538.0,ns,1045
gaussian variance,,,,,62597899.0,ns,1064
gaussian variance,,,,,56572960.0,ns,1083
gaussian variance,,,,,55919256.0,ns,1102
gaussian variance,,,,,63642305.0,ns,1121
gaussian variance,,,,,55841155.0,ns,1140
gaussian variance,,,,,61247390.0,ns,1159
gaussian variance,,,,,59187176.0,ns,1178
gaussian variance,,,,,67996332.0,ns,1197
gaussian variance,,,,,65001914.0,ns,1216
gaussian variance,,,,,61169589.0,ns,1235
gaussian variance,,,,,66404123.0,ns,1254
gaussian variance,,,,,72304460.0,ns,1273
gaussian variance,,,,,67532130.0,ns,1292
gaussian variance,,,,,70909851.0,ns,1311
gaussian variance,,,,,65766418.0,ns,1330
gaussian variance,,,,,67689731.0,ns,1349
gaussian variance,,,,,75363780.0,ns,1368
gaussian variance,,,,,70911251.0,ns,1387
gaussian variance,,,,,82917928.0,ns,1406
gaussian variance,,,,,71751056.0,ns,1425
gaussian variance,,,,,73182766.0,ns,1444
gaussian variance,,,,,73704169.0,ns,1463
gaussian variance,,,,,72179560.0,ns,1482
gaussian variance,,,,,74778675.0,ns,1501
gaussian variance,,,,,74904577.0,ns,1520
gaussian variance,,,,,75035578.0,ns,1539
gaussian variance,,,,,76989390.0,ns,1558
gaussian variance,,,,,79389205.0,ns,1577
gaussian variance,,,,,81416318.0,ns,1596
gaussian variance,,,,,82037322.0,ns,1615
gaussian variance,,,,,81475619.0,ns,1634
gaussian variance,,,,,81574519.0,ns,1653
gaussian variance,,,,,81949521.0,ns,1672
gaussian variance,,,,,84318937.0,ns,1691
gaussian variance,,,,,92039886.0,ns,1710
gaussian variance,,,,,86541450.0,ns,1729
gaussian variance,,,,,94603602.0,ns,1748
gaussian variance,,,,,89901472.0,ns,1767
gaussian variance,,,,,91436882.0,ns,1786
gaussian variance,,,,,106747380.0,ns,1805
gaussian variance,,,,,94680502.0,ns,1824
gaussian variance,,,,,95630809.0,ns,1843
gaussian variance,,,,,92222187.0,ns,1862
gaussian variance,,,,,93887097.0,ns,1881
gaussian variance,,,,,96802616.0,ns,1900
