group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gaussian variance,,,,,1214708.0,ns,22
gaussian variance,,,,,1894213.0,ns,44
gaussian variance,,,,,2878520.0,ns,66
gaussian variance,,,,,3896926.0,ns,88
gaussian variance,,,,,4813532.0,ns,110
gaussian variance,,,,,5914240.0,ns,132
gaussian variance,,,,,7103948.0,ns,154
gaussian variance,,,,,7909454.0,ns,176
gaussian variance,,,,,9795366.0,ns,198
gaussian variance,,,,,10054168.0,ns,220
gaussian variance,,,,,12181482.0,ns,242
gaussian variance,,,,,11554779.0,ns,264
gaussian variance,,,,,13641492.0,ns,286
gaussian variance,,,,,16355310.0,ns,308
gaussian variance,,,,,15802107.0,ns,330
gaussian variance,,,,,17627219.0,ns,352
gaussian variance,,,,,17342718.0,ns,374
gaussian variance,,,,,19451831.0,ns,396
gaussian variance,,,,,21872948.0,ns,418
gaussian variance,,,,,20574139.0,ns,440
gaussian variance,,,,,22560652.0,ns,462
gaussian variance,,,,,22711654.0,ns,484
gaussian variance,,,,,24214664.0,ns,506
gaussian variance,,,,,25934475.0,ns,528
gaussian variance,,,,,26677680.0,ns,550
gaussian variance,,,,,26529580.0,ns,572
gaussian variance,,,,,28289891.0,ns,594
gaussian variance,,,,,29012790.0,ns,616
gaussian variance,,,,,30597398.0,ns,638
gaussian variance,,,,,29939993.0,ns,660
gaussian variance,,,,,32307009.0,ns,682
gaussian variance,,,,,31449903.0,ns,704
gaussian variance,,,,,33079814.0,ns,726
gaussian variance,,,,,33865918.0,ns,748
gaussian variance,,,,,35545430.0,ns,770
gaussian variance,,,,,35377628.0,ns,792
gaussian variance,,,,,36097833.0,ns,814
gaussian variance,,,,,39847758.0,ns,836
gaussian variance,,,,,43330179.0,ns,858
gaussian variance,,,,,42643676.0,ns,880
gaussian variance,,,,,41896770.0,ns,902
gaussian variance,,,,,43712383.0,ns,924
gaussian variance,,,,,42372673.0,ns,946
gaussian variance,,,,,44540188.0,ns,968
gaussian variance,,,,,45794795.0,ns,990
gaussian variance,,,,,48017211.0,ns,1012
gaussian variance,,,,,53419444.0,ns,1034
gaussian variance,,,,,50263025.0,ns,1056
gaussian variance,,,,,53132343.0,ns,1078
gaussian variance,,,,,50331325.0,ns,1100
gaussian variance,,,,,50255525.0,ns,1122
gaussian variance,,,,,52412738.0,ns,1144
gaussian variance,,,,,53083043.0,ns,1166
gaussian variance,,,,,53859348.0,ns,1188
gaussian variance,,,,,55728459.0,ns,1210
gaussian variance,,,,,62291903.0,ns,1232
gaussian variance,,,,,58203876.0,ns,1254
gaussian variance,,,,,62107301.0,ns,1276
gaussian variance,,,,,59333483.0,ns,1298
gaussian variance,,,,,61721498.0,ns,1320
gaussian variance,,,,,66299928.0,ns,1342
gaussian variance,,,,,63627711.0,ns,1364
gaussian variance,,,,,63440110.0,ns,1386
gaussian variance,,,,,63529610.0,ns,1408
gaussian variance,,,,,63931813.0,ns,1430
gaussian variance,,,,,67106333.0,ns,1452
gaussian variance,,,,,67198034.0,ns,1474
gaussian variance,,,,,70499355.0,ns,1496
gaussian variance,,,,,69286048.0,ns,1518
gaussian variance,,,,,70675656.0,ns,1540
gaussian variance,,,,,75349687.0,ns,1562
gaussian variance,,,,,78194105.0,ns,1584
gaussian variance,,,,,73700775.0,ns,1606
gaussian variance,,,,,74974185.0,ns,1628
gaussian variance,,,,,87769166.0,ns,1650
gaussian variance,,,,,81953630.0,ns,1672
gaussian variance,,,,,77106197.0,ns,1694
gaussian variance,,,,,76566495.0,ns,1716
gaussian variance,,,,,79789915.0,ns,1738
gaussian variance,,,,,84947449.0,ns,1760
gaussian variance,,,,,88208669.0,ns,1782
gaussian variance,,,,,84046343.0,ns,1804
gaussian variance,,,,,85780454.0,ns,1826
gaussian variance,,,,,93647804.0,ns,1848
gaussian variance,,,,,86506159.0,ns,1870
gaussian variance,,,,,85328751.0,ns,1892
gaussian variance,,,,,89289877.0,ns,1914
gaussian variance,,,,,87010061.0,ns,1936
gaussian variance,,,,,94714112.0,ns,1958
gaussian variance,,,,,91815993.0,ns,1980
gaussian variance,,,,,91611491.0,ns,2002
gaussian variance,,,,,89526379.0,ns,2024
gaussian variance,,,,,92265495.0,ns,2046
gaussian variance,,,,,92372297.0,ns,2068
gaussian variance,,,,,97058026.0,ns,2090
gaussian variance,,,,,106770390.0,ns,2112
gaussian variance,,,,,100881851.0,ns,2134
gaussian variance,,,,,101822258.0,ns,2156
gaussian variance,,,,,99375841.0,ns,2178
gaussian variance,,,,,101558256.0,ns,2200
